,precision,recall,f1-score,support
American Lady,1.0,0.9259259259259259,0.9615384615384616,27.0
Anise Swallowtail,0.7142857142857143,0.9375,0.8108108108108109,16.0
Banded Orange Heliconian,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
Black Swallowtail,0.9565217391304348,0.8461538461538461,0.8979591836734694,26.0
Black Witch,0.9090909090909091,0.9090909090909091,0.9090909090909091,33.0
Ceraunus Blue,0.9375,0.9375,0.9375,16.0
Common Wood-Nymph,0.8518518518518519,0.92,0.8846153846153846,25.0
Dainty Sulphur,1.0,0.9696969696969697,0.9846153846153847,33.0
Dorantes Longtail,0.85,0.9444444444444444,0.8947368421052632,18.0
Falcate Orangetip,1.0,0.7647058823529411,0.8666666666666667,17.0
Gray Hairstreak,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
Leopard Lacewing,1.0,1.0,1.0,11.0
Little Metalmark,0.9166666666666666,0.9565217391304348,0.9361702127659575,23.0
Palamedes Swallowtail,0.9523809523809523,1.0,0.975609756097561,20.0
Pearly-Eye,0.95,1.0,0.9743589743589743,19.0
Red-banded Hairstreak,0.96,0.9230769230769231,0.9411764705882353,26.0
Snout Butterfly,0.9565217391304348,0.9166666666666666,0.9361702127659575,24.0
Zebra Swallowtail,0.9375,0.9375,0.9375,16.0
accuracy,0.9296875,0.9296875,0.9296875,0.9296875
macro avg,0.9313073163193937,0.9311108570972877,0.9288739661613976,384.0
weighted avg,0.9348747579748485,0.9296875,0.9302691220807496,384.0
